date,gdppc_ppp,laborforce_basic_educ
2018,,
2017,54225.4461231621,29.8504009246826
2016,53399.3591673623,29.3010005950928
2015,53005.6361464627,28.7518997192383
2014,51921.9846391384,28.5981006622314
2013,51003.6859904151,28.2607002258301
2012,50520.348289879,29.1690006256104
2011,49793.7135249201,28.9099006652832
2010,49374.1788851797,29.2975006103516
2009,48557.8676445276,29.7082004547119
2008,50383.8405601926,28.8031997680664
2007,51011.4250263085,29.0802001953125
2006,50598.9483595843,28.5771007537842
2005,49762.2379013619,28.2047996520996
2004,48597.3373622248,28.4902992248535
2003,47260.0419368009,28.7124004364014
2002,46366.5779744928,28.426700592041
2001,45977.5499913714,28.4678001403809
2000,45986.0527103166,28.2973003387451
1999,44672.5494142099,27.1688003540039
1998,43166.0818492918,26.5888004302979
1997,41811.6387668025,25.9647998809814
1996,40500.7954160455,25.2481002807617
1995,39476.2658175258,25.1152992248535
1994,38891.6981952607,24.3565998077393
1993,37843.5732817864,
1992,37321.1290369821,
1991,36543.0849228687,
1990,37062.1302595789,
1989,,
1988,,
1987,,
1986,,
1985,,
1984,,
1983,,
1982,,
1981,,
1980,,
1979,,
1978,,
1977,,
1976,,
1975,,
1974,,
1973,,
1972,,
1971,,
1970,,
1969,,
1968,,
1967,,
1966,,
1965,,
1964,,
1963,,
1962,,
1961,,
1960,,
